9수01-01 | 소인수분해의 뜻을 알고, 자연수를 소인수분해 할 수 있다.
9수01-02 | 소인수분해를 이용하여 최대공약수와 최소공배수를 구할 수 있다.
9수01-03 | 다양한 상황을 이용하여 음수의 필요성을 인식하고, 양수와 음수, 정수와 유리수의 개념을 이해한다.
9수01-04 | 정수와 유리수의 대소 관계를 판단할 수 있다.
9수01-05 | 정수와 유리수의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다.
9수01-06 | 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.
9수01-07 | 제곱근의 뜻과 성질을 알고, 제곱근의 대소 관계를 판단할 수 있다.
9수01-08 | 무리수의 개념을 이해하고, 무리수의 유용성을 인식할 수 있다.
9수01-09 | 실수의 대소 관계를 판단하고 설명할 수 있다.
9수01-10 | 근호를 포함한 식의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다.
9수02-01 | 다양한 상황을 문자를 사용한 식으로 나타내어 그 유용성을 인식하고, 식의 값을 구할 수 있다.
9수02-02 | 일차식의 덧셈과 뺄셈의 원리를 이해하고, 그 계산을 할 수 있다.
itest-rs-019fbff4-1adc-7162-8245-999e601666b4 | 복습출제 개념 fresh | -
itest-rs-019fc026-0607-7198-805b-d025c38d8c5b | 복습출제 개념 forgotten | -
itest-rs-019fc026-0607-7198-805b-dfc4f23380fa | 복습출제 개념 fading | -
itest-rs-019fc026-0607-7198-805b-eb8e2afe4039 | 복습출제 개념 fresh | -
itest-rs-019fc02d-ed25-7451-af61-9357d80d941a | 복습출제 개념 forgotten | -
itest-rs-019fc02d-ed26-776c-b5be-b7a0ae84d309 | 복습출제 개념 fading | -
itest-rs-019fc02d-ed26-776c-b5be-c3bac684602a | 복습출제 개념 fresh | -
itest-rs-019fc033-7cfa-712d-9fe9-9fe1288b3f79 | 복습출제 개념 forgotten | -
itest-rs-019fc033-7cfa-712d-9fe9-abae927e3a56 | 복습출제 개념 fading | -
itest-rs-019fc033-7cfa-712d-9fe9-b7c76742c2e2 | 복습출제 개념 fresh | -
itest-rs-019fc034-7a58-7045-a04b-5889a70edeba | 복습출제 개념 forgotten | -
itest-rs-019fc034-7a58-7045-a04b-65ad7b6a4847 | 복습출제 개념 fading | -
itest-rs-019fc034-7a58-7045-a04b-72fd6b9e0e1b | 복습출제 개념 fresh | -
itest-rs-019fc03d-6b79-7599-9664-ae4298c40dd0 | 복습출제 개념 forgotten | -
itest-rs-019fc03d-6b79-7599-9664-bbcf691d41a9 | 복습출제 개념 fading | -
itest-rs-019fc03d-6b79-7599-9664-c7d0511e27f4 | 복습출제 개념 fresh | -
itest-rs-019fc03e-6bfe-7626-80b4-3e64f9dc0e3a | 복습출제 개념 forgotten | -
itest-rs-019fc03e-6bfe-7626-80b4-4886cd6a88d6 | 복습출제 개념 fading | -
itest-rs-019fc03e-6bfe-7626-80b4-57a27cb6b08e | 복습출제 개념 fresh | -
itest-rs-019fc046-91ec-70aa-bab5-0becd1306d70 | 복습출제 개념 forgotten | -
itest-rs-019fc046-91ec-70aa-bab5-168ac3341c63 | 복습출제 개념 fading | -
itest-rs-019fc046-91ec-70aa-bab5-2142a66f065b | 복습출제 개념 fresh | -
m1-divisors | 약수와 약수의 개수 | middle-1
m1-gcd | 최대공약수 | middle-1
m1-lcm | 최소공배수 | middle-1
m1-prime-composite | 소수와 합성수 | middle-1
m1-prime-factorization | 소인수분해 | middle-1
m2-linear-eq-review | 일차방정식 복습 | middle-2
m2-linear-fn-intro | 일차함수의 뜻 | middle-2
m2-simeq-application | 연립방정식의 활용 | middle-2
m2-simeq-elimination | 가감법 | middle-2
m2-simeq-intro | 연립일차방정식의 뜻 | middle-2
m2-simeq-substitution | 대입법 | middle-2
